servo angle,lidar data
0,87
1,87
2,86
3,83
4,80
5,76
6,65535
7,205
8,202
9,205
10,207
11,209
12,211
13,213
14,209
15,207
16,213
17,221
18,227
19,232
20,230
21,226
22,214
23,119
24,109
25,102
26,91
27,85
28,80
29,77
30,76
31,75
32,74
33,73
34,72
35,72
36,71
37,71
38,71
39,71
40,72
41,18521
42,73
43,74
44,74
45,75
46,76
47,76
48,77
49,77
50,78
51,79
52,80
53,81
54,81
55,82
56,83
57,84
58,85
59,86
60,87
61,89
62,93
63,97
64,187
65,190
66,193
67,195
68,198
69,199
70,200
71,200
72,199
73,197
74,194
75,192
76,192
77,192
78,193
79,192
80,191
81,187
82,178
83,166
84,156
85,150
86,145
87,143
88,150
89,165
90,175
91,180
92,184
93,186
94,188
95,189
96,189
97,189
98,189
99,190
100,190
101,190
102,189
103,187
104,186
105,185
106,184
107,183
108,182
109,182
110,182
111,182
112,182
113,182
114,181
115,181
116,180
117,179
118,179
119,178
120,177
121,177
122,176
123,175
124,175
125,174
126,174
127,174
128,173
129,173
130,172
131,172
132,172
133,171
134,171
135,171
136,170
137,169
138,168
139,167
140,167
141,165
142,165
143,164
144,164
145,164
146,164
147,164
148,163
149,162
150,161
151,160
152,160
153,160
154,160
155,159
156,158
157,156
158,153
159,149
160,144
161,140
162,136
163,132
164,129
165,126
166,124
167,122
168,120
169,118
170,117
171,115
172,114
173,113
174,112
175,113
176,113
177,114
178,114
179,114
180,114
181,111
182,107
183,104
184,101
185,98
186,96
187,94
188,93
189,91
190,90
191,88
192,87
193,86
194,85
195,84
196,83
197,82
198,82
199,81
200,81
